contractType,contractID,currency,notionalPrincipal,initialExchangeDate,maturityDate,repetition,frequency,times,inverted,description
Investments,AFA0001,CHF,8500000,2022-01-01,9999-01-01,NULL,1 years,51,FALSE,Fixed Asset: Real Estate 1 with linear deprecation over 50 years
Investments,AFA0002,CHF,3500000,2022-01-01,9999-01-01,NULL,1 years,51,FALSE,Fixed Asset: Real Estate 2 with linear deprecation over 50 years
Investments,AFA0003,CHF,6000000,2022-01-01,9999-01-01,NULL,1 years,51,FALSE,Fixed Asset: Real Estate 3 with linear deprecation over 50 years
Investments,AFA0004,CHF,2000000,2022-01-01,9999-01-01,NULL,1 years,11,FALSE,Fixed Asset: Movables with linear deprecation over 10 years
OperationalCF,ORC0001,CHF,1000000,2022-01-01,9999-01-01,10,1 years,11,FALSE,Commissions earned by bank with account management
OperationalCF,ORR0001,CHF,425000,2022-01-01,9999-01-01,50,1 years,51,TRUE,Rent for Real Estate 1 for annualized 5% their current value
OperationalCF,ORR0002,CHF,175000,2022-01-01,9999-01-01,50,1 years,51,TRUE,Rent for Real Estate 2 for annualized 5% their current value
OperationalCF,ORR0003,CHF,300000,2022-01-01,9999-01-01,50,1 years,51,TRUE,Rent for Real Estate 3 for annualized 5% their current value
OperationalCF,OES0001,CHF,2000000,2022-01-01,9999-01-01,10,1 years,11,FALSE,Yearly personnel expenses
OperationalCF,OER0001,CHF,1200000,2022-01-01,9999-01-01,10,1 years,11,FALSE,Yearly rent expenses
